FID;FID_Buffer;FID_fire_n;LATITUDE;LONGITUDE;BRIGHTNESS;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;INSTRUMENT;CONFIDENCE;VERSION;BRIGHT_T31;FRP;DAYNIGHT;FID_UFS_AM;SPRAREA;SPRPERIMET;SPRROTULO;SPRNOME;MSLINK;MAPID;CODIGO;AREA_1;PERIMETRO_;GEOCODIGO;NOME;AREA_TOT_G;objeid_88;BUFF_DIST;ORIG_FID;FID_buff_1;FID_buff_2;Id;FID_pontos;codigocncf;id_1;preccncflo;POINT_X;POINT_Y;familia;nome_cient;autor;categoria
19;9052;60773;-9,157;-61,425;355,5;1;1;23/08/2019;240;Terra;MODIS;100;6.0NRT;297,1;72,9;N;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;1,6;22236;184;0;0;13881;1236064;22000; ;-61,42;-9,17;ARACEAE;Heteropsis flexuosa;(Kunth) G.S.Bunting;VU
20;12415;52401;-8,19;-70,792;332,4;1;1;19/08/2019;1825;Aqua;MODIS;85;6.0NRT;301,9;22,3;D;1;1,58852E+11;2712819,854;2;2;2;99;12;152581,388;2670,32865;12;ACRE;152581,388;1;1,6;30461;220;0;0;711;710745;25006;5 a 10km;-70,8;-8,2;VIOLACEAE;Rinorea longistipulata;Hekking;EN
21;12415;52401;-8,19;-70,792;332,4;1;1;19/08/2019;1825;Aqua;MODIS;85;6.0NRT;301,9;22,3;D;1;1,58852E+11;2712819,854;2;2;2;99;12;152581,388;2670,32865;12;ACRE;152581,388;1;1,6;30461;221;0;0;713;1302474;25006; ;-70,8;-8,2;VIOLACEAE;Rinorea longistipulata;Hekking;EN
22;12415;52401;-8,19;-70,792;332,4;1;1;19/08/2019;1825;Aqua;MODIS;85;6.0NRT;301,9;22,3;D;1;1,58852E+11;2712819,854;2;2;2;99;12;152581,388;2670,32865;12;ACRE;152581,388;1;1,6;30461;222;0;0;714;1302475;25006; ;-70,8;-8,2;VIOLACEAE;Rinorea longistipulata;Hekking;EN
23;13227;37569;-7,763;-57,335;353,9;1,6;1,2;15/08/2019;1710;Aqua;MODIS;97;6.0NRT;305,3;122,5;D;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;1,6;32539;235;0;0;7823;1079691;114133; ;-57,33;-7,75;BIGNONIACEAE;Jacaranda egleri;Sandwith;CR
24;13237;36608;-7,76;-57,327;337,8;1,6;1,2;15/08/2019;1710;Aqua;MODIS;89;6.0NRT;302,2;59,9;D;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;1,6;32561;235;0;0;7823;1079691;114133; ;-57,33;-7,75;BIGNONIACEAE;Jacaranda egleri;Sandwith;CR
25;14840;26542;-6,978;-56,441;350,9;1;1;13/08/2019;1720;Aqua;MODIS;95;6.0NRT;308,6;55,4;D;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;1,6;36779;245;0;0;6144;3337098;113797;centroide de municipio;-56,441495;-6,976914;BIGNONIACEAE;Pleonotoma bracteata;A.H.Gentry;VU
26;14847;26543;-6,977;-56,432;361,2;1;1;13/08/2019;1720;Aqua;MODIS;100;6.0NRT;304,5;81;D;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;1,6;36790;245;0;0;6144;3337098;113797;centroide de municipio;-56,441495;-6,976914;BIGNONIACEAE;Pleonotoma bracteata;A.H.Gentry;VU
27;16189;1399;-6,551;-45,003;349,1;1;1;05/08/2019;1630;Aqua;MODIS;94;6.0NRT;311,8;49,4;D;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;1,6;40323;248;0;0;13439;1798945;114468;centroide de municipio;-45,010538;-6,542808;BIGNONIACEAE;Zeyheria tuberculosa;(Vell.) Bureau ex Verl.;VU
28;16220;1393;-6,544;-45,013;342,4;1;1;05/08/2019;1630;Aqua;MODIS;90;6.0NRT;305,6;39,4;D;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;1,6;40385;248;0;0;13439;1798945;114468;centroide de municipio;-45,010538;-6,542808;BIGNONIACEAE;Zeyheria tuberculosa;(Vell.) Bureau ex Verl.;VU
29;16229;1396;-6,542;-45,004;368,5;1;1;05/08/2019;1630;Aqua;MODIS;100;6.0NRT;314,7;106,1;D;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;1,6;40413;248;0;0;13439;1798945;114468;centroide de municipio;-45,010538;-6,542808;BIGNONIACEAE;Zeyheria tuberculosa;(Vell.) Bureau ex Verl.;VU
30;18762;58127;-3,356;-50,803;314,6;1,1;1;22/08/2019;200;Terra;MODIS;90;6.0NRT;289,3;13,2;N;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;1,6;47515;320;0;0;19793;1197704;22796; ;-50,8;-3,37;FABACEAE;Apuleia leiocarpa;(Vogel) J.F.Macbr.;VU
31;18762;58127;-3,356;-50,803;314,6;1,1;1;22/08/2019;200;Terra;MODIS;90;6.0NRT;289,3;13,2;N;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;1,6;47515;321;0;0;24184;1330144;23424; ;-50,8;-3,37;LECYTHIDACEAE;Bertholletia excelsa;Bonpl.;VU
