OBJECTID;FID_UFS_AMZLEG_LLWGS84;SPRAREA;SPRPERIMET;SPRROTULO;SPRNOME;MSLINK;MAPID;CODIGO;AREA_1;PERIMETRO_;GEOCODIGO;NOME;AREA_TOT_G;objeid_88;Area;FID_pontos_ameacadas_atualizado_portaria_443_2014;codigocncf;id;preccncflo;POINT_X;POINT_Y;familia;nome_cient;autor;categoria
878;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;24103;1335294;84232; ;-60,03;-3,1;LAURACEAE;Aniba ferrea;Kubitzki;VU
883;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;15903;2902378;79080;centroide de municipio;-56,908133;-3,09247;FABACEAE;Hymenolobium excelsum;Ducke;VU
892;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;14553;361350;78445;0,5 a 5km;-60,070918;-3,043052;LAURACEAE;Aniba santalodora;Ducke;VU
897;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;24427;1238716;84425; ;-59,97;-3;LAURACEAE;Rhodostemonodaphne parvifolia;MadriÃ±Ã¡n;CR
899;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;10501;3160886;39540;10 a 50km;-60,051672;-2,981995;SAPOTACEAE;Pradosia subverticillata;Ducke;VU
910;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;9973;745321;39462;5 a 10km;-59,933;-2,967;SAPOTACEAE;Micropholis splendens;Gilly ex AubrÃ©v.;EN
938;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;10468;744302;39530;centroide de municipio;-59,929146;-2,941158;SAPOTACEAE;Pouteria virescens;Baehni;EN
974;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;20362;643066;105761;centroide de municipio;-59,929146;-2,941158;LAURACEAE;Rhodostemonodaphne recurva;van der Werff;EN
1034;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;10558;3044457;39542;centroide de municipio;-59,980355;-2,88696;SAPOTACEAE;Pradosia verticillata;Ducke;EN
1054;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;26969;691046;854;centroide de municipio;-59,980355;-2,88696;RUTACEAE;Nycticalanthus speciosus;Ducke;CR
1069;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;29499;648011;33777;centroide de municipio;-59,980355;-2,88696;APOCYNACEAE;Tabernaemontana cumata;Leeuwenb.;EN
1255;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;25727;763988;85813;0,5 a 5km;-60,001705;-2,588119;MYRISTICACEAE;Iryanthera campinae;W.A.Rodrigues;VU
1341;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;6152;1070808;114053;5 a 10km;-65,7167;-1,8333;BIGNONIACEAE;Digomphia densicoma;(Mart. ex DC.) Pilg.;VU
1360;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;22851;3327252;23344; ;-52,489;-1,601;LAURACEAE;Aiouea benthamiana;Mez;EN
1400;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;4489;3340009;36674;centroide de municipio;-49,284615;-1,342457;LECYTHIDACEAE;Eschweilera subcordata;S.A.Mori;EN
1401;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;0;26635;3340180;88370;centroide de municipio;-46,004504;-1,287031;VOCHYSIACEAE;Qualea coerulea;Aubl.;VU
1429;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;4006;1182701;8543;centroide de municipio;-48,45948;-1,271136;LECYTHIDACEAE;Cariniana legalis;(Mart.) Kuntze;EN
1458;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;26057;633980;19741; ;-57,216667;-0,883333;MELIACEAE;Trichilia blanchetii;C.DC.;VU
1467;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;15841;3340019;116753; ;-50,18;-0,7;BURSERACEAE;Protium giganteum var. crassifolium;(Engl.) Daly;VU
1481;2;1,4293E+11;2381854,165;20;20;20;99;16;142814,585;2380,76564;16;AMAPÁ;142814,585;19;0;30143;87700;34643;5 a 10km;-52,366667;-0,533333;CHRYSOBALANACEAE;Couepia joaquinae;Prance;CR
1495;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;20346;1334830;83383;centroide de municipio;-63,379794;-0,140785;FABACEAE;Macrosamanea prancei;(Barneby) Barneby & J.W.Grimes;VU
1512;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;25795;3158586;85887;centroide de municipio;-67,966593;0,172795;MYRISTICACEAE;Virola parvifolia;Ducke;VU
1521;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;10101;3160792;39478;centroide de municipio;-53,742064;0,208579;SAPOTACEAE;Pouteria decussata;(Ducke) Baehni;EN
1527;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;15848;3338213;116842;centroide de municipio;-53,742064;0,208579;BURSERACEAE;Protium inodorum;Daly;EN
1573;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;16822;3338212;81425; ;-62,8;1,53;BURSERACEAE;Bursera simaruba;(L.) Sarg.;VU
1578;7;2,26232E+11;3564371,495;4;4;4;99;14;224298,98;3548,01904;14;RORAIMA;224298,98;3;0;18163;3328864;82871; ;-60,6733;2,81972;FABACEAE;Centrolobium paraense;Tul.;EN
1579;7;2,26232E+11;3564371,495;4;4;4;99;14;224298,98;3548,01904;14;RORAIMA;224298,98;3;0;17249;632044;82613;centroide de municipio;-62,626794;2,983759;FABACEAE;Albizia glabripetala;(H.S.Irwin) G.P.Lewis;EN
